conjunto,campanha_retirada,tipo,condicao,alfa_real,n_teste,alfa_previsto_medio,mae_espiras,vies_espiras,fora_dominio_fracao
trivial,A,extrapolacao,Healthy,0.0,22,0.2611489954824244,156.68939728945463,156.68939728945463,0.0
trivial,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,0.11538461538461539
trivial,B,interpolacao,SC160,0.26666666666666666,31,0.09303299226062632,104.1802046436242,-104.1802046436242,0.0
trivial,C,interpolacao,SC240,0.4,26,0.589828504883244,113.89710292994637,113.89710292994637,0.46153846153846156
trivial,C,interpolacao,SC320,0.5333333333333333,26,0.6296400354891064,63.462293140315715,57.78402129346383,0.8076923076923077
trivial,D,extrapolacao,SC400,0.6666666666666666,25,0.7847665358707494,70.8599215224497,70.8599215224497,1.0
trivial,D,extrapolacao,SC480,0.8,27,0.9988945907365029,119.33675444190172,119.33675444190172,1.0
trivial,D,extrapolacao,SC560,0.9333333333333333,32,1.0,39.99999999999999,39.99999999999999,1.0
trivial,D,extrapolacao,SC600,1.0,40,1.0,0.0,0.0,1.0
posicao,A,extrapolacao,Healthy,0.0,22,0.16639138334761294,99.83483000856776,99.83483000856776,0.0
posicao,B,interpolacao,SC80,0.13333333333333333,26,0.41874737762293235,171.2484265737594,171.2484265737594,0.038461538461538464
posicao,B,interpolacao,SC160,0.26666666666666666,31,0.4555518972276402,113.33113833658413,113.33113833658413,0.0
posicao,C,interpolacao,SC240,0.4,26,0.6392314765520185,143.53888593121107,143.53888593121107,0.038461538461538464
posicao,C,interpolacao,SC320,0.5333333333333333,26,0.7331497742250317,119.88986453501906,119.88986453501906,0.07692307692307693
posicao,D,extrapolacao,SC400,0.6666666666666666,25,0.41742095247010996,149.547428517934,-149.547428517934,0.0
posicao,D,extrapolacao,SC480,0.8,27,0.45970828580793294,204.17502851524029,-204.17502851524029,0.0
posicao,D,extrapolacao,SC560,0.9333333333333333,32,0.4010735683159641,319.35585901042157,-319.35585901042157,0.0
posicao,D,extrapolacao,SC600,1.0,40,0.5494794240183779,270.31234558897324,-270.31234558897324,0.0
indicadores_v1,A,extrapolacao,Healthy,0.0,22,0.20462841474060622,122.77704884436373,122.77704884436373,0.9545454545454546
indicadores_v1,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
indicadores_v1,B,interpolacao,SC160,0.26666666666666666,31,0.16569757633908147,60.5814541965511,-60.5814541965511,1.0
indicadores_v1,C,interpolacao,SC240,0.4,26,0.4554508995152083,33.270539709124996,33.270539709124996,1.0
indicadores_v1,C,interpolacao,SC320,0.5333333333333333,26,0.5738948850079993,25.234542113741448,24.33693100479959,1.0
indicadores_v1,D,extrapolacao,SC400,0.6666666666666666,25,0.0,400.00000000000006,-400.00000000000006,1.0
indicadores_v1,D,extrapolacao,SC480,0.8,27,0.3431277016219503,274.12337902682987,-274.12337902682987,1.0
indicadores_v1,D,extrapolacao,SC560,0.9333333333333333,32,0.5450281672798807,232.98309963207166,-232.98309963207166,1.0
indicadores_v1,D,extrapolacao,SC600,1.0,40,0.7535251237158802,147.8849257704719,-147.8849257704719,1.0
indicadores,A,extrapolacao,Healthy,0.0,22,0.21292497347501313,127.75498408500788,127.75498408500788,0.5454545454545454
indicadores,B,interpolacao,SC80,0.13333333333333333,26,0.0,80.0,-80.0,1.0
indicadores,B,interpolacao,SC160,0.26666666666666666,31,0.13974884132677537,76.15069520393476,-76.15069520393476,1.0
indicadores,C,interpolacao,SC240,0.4,26,0.4603906933372039,36.23441600232231,36.23441600232231,1.0
indicadores,C,interpolacao,SC320,0.5333333333333333,26,0.5390824886809544,14.627038798339404,3.449493208572623,1.0
indicadores,D,extrapolacao,SC400,0.6666666666666666,25,1.0,200.00000000000003,200.00000000000003,1.0
indicadores,D,extrapolacao,SC480,0.8,27,1.0,119.99999999999999,119.99999999999999,1.0
indicadores,D,extrapolacao,SC560,0.9333333333333333,32,1.0,39.99999999999999,39.99999999999999,1.0
indicadores,D,extrapolacao,SC600,1.0,40,1.0,0.0,0.0,1.0
mobilenet,A,extrapolacao,Healthy,0.0,22,0.3027150332927704,181.62902322682467,181.62902322682467,1.0
mobilenet,B,interpolacao,SC80,0.13333333333333333,26,0.04272406920790672,54.3655603665572,-54.3655603665572,1.0
mobilenet,B,interpolacao,SC160,0.26666666666666666,31,0.2021690011024475,38.69859645443577,-38.69859645443577,1.0
mobilenet,C,interpolacao,SC240,0.4,26,0.39591294527053833,10.38050995423244,-2.452240402881929,1.0
mobilenet,C,interpolacao,SC320,0.5333333333333333,26,0.48767104744911194,27.397359151106606,-27.397359151106606,1.0
mobilenet,D,extrapolacao,SC400,0.6666666666666666,25,0.6098932027816772,34.064075469970675,-34.064075469970675,1.0
mobilenet,D,extrapolacao,SC480,0.8,27,0.6804406642913818,71.735577583313,-71.735577583313,1.0
mobilenet,D,extrapolacao,SC560,0.9333333333333333,32,0.6905982494354248,145.64104810357094,-145.64104810357094,1.0
mobilenet,D,extrapolacao,SC600,1.0,40,0.6753181219100952,194.80911701917648,-194.80911701917648,1.0
dinov2,A,extrapolacao,Healthy,0.0,22,0.2923162281513214,175.3897352652116,175.3897352652116,1.0
dinov2,B,interpolacao,SC80,0.13333333333333333,26,0.11130202561616898,23.576030318553634,-13.218780159950253,1.0
dinov2,B,interpolacao,SC160,0.26666666666666666,31,0.25725677609443665,23.370584710951782,-5.6459493406357275,1.0
dinov2,C,interpolacao,SC240,0.4,26,0.5235006213188171,74.10035422215094,74.10035422215094,0.3076923076923077
dinov2,C,interpolacao,SC320,0.5333333333333333,26,0.6004475355148315,40.26853231283335,40.26853231283335,0.11538461538461539
dinov2,D,extrapolacao,SC400,0.6666666666666666,25,0.5298793911933899,82.07235240936278,-82.07235240936278,0.28
dinov2,D,extrapolacao,SC480,0.8,27,0.5488846898078918,150.66916624705,-150.66916624705,0.0
dinov2,D,extrapolacao,SC560,0.9333333333333333,32,0.5582870244979858,225.02777244895697,-225.02777244895697,0.53125
dinov2,D,extrapolacao,SC600,1.0,40,0.5411941409111023,275.28349354863167,-275.28349354863167,0.9
hibrido_v1,A,extrapolacao,Healthy,0.0,22,0.2841279320421538,170.47675922529228,170.47675922529228,1.0
hibrido_v1,B,interpolacao,SC80,0.13333333333333333,26,0.05346191778938988,47.922849326366084,-47.922849326366084,1.0
hibrido_v1,B,interpolacao,SC160,0.26666666666666666,31,0.23983665112110758,18.41194436550406,-16.098009327335472,1.0
hibrido_v1,C,interpolacao,SC240,0.4,26,0.5027326336598014,61.639580195880825,61.639580195880825,0.5384615384615384
hibrido_v1,C,interpolacao,SC320,0.5333333333333333,26,0.5832489472276268,29.94936833657606,29.94936833657606,0.15384615384615385
hibrido_v1,D,extrapolacao,SC400,0.6666666666666666,25,0.9360743605667595,161.64461634005573,161.64461634005573,1.0
hibrido_v1,D,extrapolacao,SC480,0.8,27,1.0,119.99999999999999,119.99999999999999,1.0
hibrido_v1,D,extrapolacao,SC560,0.9333333333333333,32,0.9553364513319407,16.807122515965645,13.201870799164366,1.0
hibrido_v1,D,extrapolacao,SC600,1.0,40,0.9616271357408005,23.023718555519704,-23.023718555519704,1.0
hibrido,A,extrapolacao,Healthy,0.0,22,0.2880059480543768,172.80356883262607,172.80356883262607,1.0
hibrido,B,interpolacao,SC80,0.13333333333333333,26,0.06912653979873534,38.52407612075879,-38.52407612075879,1.0
hibrido,B,interpolacao,SC160,0.26666666666666666,31,0.2502965404089604,14.930765321190943,-9.822075754623745,1.0
hibrido,C,interpolacao,SC240,0.4,26,0.48709257812931167,52.255546877586944,52.255546877586944,0.5
hibrido,C,interpolacao,SC320,0.5333333333333333,26,0.5724808729226388,23.936681503774565,23.488523753583294,0.15384615384615385
hibrido,D,extrapolacao,SC400,0.6666666666666666,25,0.999599742433661,199.7598454601966,199.7598454601966,1.0
hibrido,D,extrapolacao,SC480,0.8,27,1.0,119.99999999999999,119.99999999999999,1.0
hibrido,D,extrapolacao,SC560,0.9333333333333333,32,1.0,39.99999999999999,39.99999999999999,1.0
hibrido,D,extrapolacao,SC600,1.0,40,1.0,0.0,0.0,1.0
